year,location,educational_qualification,field_of_study,gender,age_group,population_group,median_income,number_graduates
2014,British Columbia,"Career, technical or professional training certificate","Business, management and public administration [5]",Woman,15 to 34 years,Chinese,42000.0,60.0
2014,British Columbia,"Career, technical or professional training certificate","Business, management and public administration [5]",Woman,15 to 34 years,Filipino,40500.0,30.0
2014,British Columbia,"Career, technical or professional training certificate","Business, management and public administration [5]",Woman,15 to 34 years,Not a visible minority,39600.0,630.0
2014,British Columbia,"Career, technical or professional training certificate","Business, management and public administration [5]",Woman,15 to 34 years,South Asian,48700.0,30.0
2014,British Columbia,"Career, technical or professional training certificate","Business, management and public administration [5]",Woman,15 to 34 years,Southeast Asian,39500.0,20.0
2014,British Columbia,"Career, technical or professional training certificate","Business, management and public administration [5]",Woman,35 to 64 years,Chinese,48900.0,60.0
2014,British Columbia,"Career, technical or professional training certificate","Business, management and public administration [5]",Woman,35 to 64 years,Not a visible minority,55800.0,390.0
2014,British Columbia,"Career, technical or professional training certificate",Education [1],Man,15 to 34 years,Not a visible minority,41600.0,20.0
2014,British Columbia,"Career, technical or professional training certificate",Education [1],Man,35 to 64 years,Not a visible minority,40600.0,30.0
2014,British Columbia,"Career, technical or professional training certificate",Education [1],Woman,15 to 34 years,Not a visible minority,34700.0,180.0
2014,British Columbia,"Career, technical or professional training certificate",Education [1],Woman,35 to 64 years,Not a visible minority,36600.0,240.0
2014,British Columbia,"Career, technical or professional training certificate",Health and related fields [10],Man,15 to 34 years,Filipino,57100.0,20.0
2014,British Columbia,"Career, technical or professional training certificate",Health and related fields [10],Man,15 to 34 years,Not a visible minority,56400.0,150.0
